zip,modzcta,dbn,n_hs_applicants,n_testers,n_offers,year,borough,positive,total,modzcta_cum_perc_pos
10025,10025,03M054,243,243,156,2015,MANHATTAN,1338,8539,15.7
10025,10025,03M247,19,19,5,2015,MANHATTAN,1338,8539,15.7
10025,10025,03M250,6,6,5,2015,MANHATTAN,1338,8539,15.7
10025,10025,03M256,11,11,5,2015,MANHATTAN,1338,8539,15.7
10025,10025,03M258,19,19,5,2015,MANHATTAN,1338,8539,15.7
10025,10025,03M333,30,30,11,2015,MANHATTAN,1338,8539,15.7
10025,10025,03M421,5,5,5,2015,MANHATTAN,1338,8539,15.7
10025,10025,03M862,85,85,15,2015,MANHATTAN,1338,8539,15.7
10025,10025,03M054,251,228,137,2016,MANHATTAN,1338,8539,15.7
10025,10025,03M247,71,8,5,2016,MANHATTAN,1338,8539,15.7
10025,10025,03M250,60,8,5,2016,MANHATTAN,1338,8539,15.7
10025,10025,03M256,56,10,5,2016,MANHATTAN,1338,8539,15.7
10025,10025,03M258,84,25,5,2016,MANHATTAN,1338,8539,15.7
10025,10025,03M333,51,19,5,2016,MANHATTAN,1338,8539,15.7
10025,10025,03M421,69,12,5,2016,MANHATTAN,1338,8539,15.7
10025,10025,03M862,110,57,10,2016,MANHATTAN,1338,8539,15.7
10025,10025,03M054,286,257,150,2017,MANHATTAN,1338,8539,15.7
10025,10025,03M247,64,12,5,2017,MANHATTAN,1338,8539,15.7
10025,10025,03M250,60,5,5,2017,MANHATTAN,1338,8539,15.7
10025,10025,03M256,48,11,5,2017,MANHATTAN,1338,8539,15.7
10025,10025,03M258,59,11,5,2017,MANHATTAN,1338,8539,15.7
10025,10025,03M333,50,15,5,2017,MANHATTAN,1338,8539,15.7
10025,10025,03M421,74,21,5,2017,MANHATTAN,1338,8539,15.7
10025,10025,03M862,122,64,12,2017,MANHATTAN,1338,8539,15.7
10025,10025,03M054,257,206,102,2019,MANHATTAN,1338,8539,15.7
10025,10025,03M247,71,13,5,2019,MANHATTAN,1338,8539,15.7
